Month,Duration of job search,State and territory (STT): ASGS (2011),Unemployed total ('000)
Apr-1991,13 weeks and under 26 weeks (3-6 months),Northern Territory,1.9804208
Apr-1991,13 weeks and under 26 weeks (3-6 months),Australian Capital Territory,2.6162273
Apr-1991,26 weeks and under 52 weeks (6-12 months),New South Wales,33.7748688
Apr-1991,26 weeks and under 52 weeks (6-12 months),Victoria,35.4328733
Apr-1991,26 weeks and under 52 weeks (6-12 months),Queensland,22.2873115
Apr-1991,26 weeks and under 52 weeks (6-12 months),South Australia,9.8938857
Apr-1991,26 weeks and under 52 weeks (6-12 months),Western Australia,12.903146
Apr-1991,26 weeks and under 52 weeks (6-12 months),Tasmania,3.2635844
Apr-1991,26 weeks and under 52 weeks (6-12 months),Northern Territory,0.7714763
Apr-1991,26 weeks and under 52 weeks (6-12 months),Australian Capital Territory,1.4600699
Apr-1991,52 weeks and under 104 weeks (1-2 years),New South Wales,25.6951304
Apr-1991,52 weeks and under 104 weeks (1-2 years),Victoria,25.7448513
Apr-1991,52 weeks and under 104 weeks (1-2 years),Queensland,15.946325
Apr-1991,52 weeks and under 104 weeks (1-2 years),South Australia,8.6278309
Apr-1991,52 weeks and under 104 weeks (1-2 years),Western Australia,11.0568674
Apr-1991,52 weeks and under 104 weeks (1-2 years),Tasmania,3.5468317
Apr-1991,52 weeks and under 104 weeks (1-2 years),Northern Territory,0.2233857
Apr-1991,52 weeks and under 104 weeks (1-2 years),Australian Capital Territory,1.0071115
Apr-1991,104 weeks and over (2 years and over),New South Wales,28.7464584
Apr-1991,104 weeks and over (2 years and over),Victoria,15.9300512
Apr-1991,104 weeks and over (2 years and over),Queensland,11.9305618
Apr-1991,104 weeks and over (2 years and over),South Australia,10.7762472
Apr-1991,104 weeks and over (2 years and over),Western Australia,6.0185513
Apr-1991,104 weeks and over (2 years and over),Tasmania,3.277767
Apr-1991,104 weeks and over (2 years and over),Northern Territory,0.3489389
Apr-1991,104 weeks and over (2 years and over),Australian Capital Territory,0.6048309
May-1991,Under 4 weeks (under 1 month),New South Wales,38.5755796
May-1991,Under 4 weeks (under 1 month),Victoria,26.1467469
May-1991,Under 4 weeks (under 1 month),Queensland,26.6974259
May-1991,Under 4 weeks (under 1 month),South Australia,8.6005612
May-1991,Under 4 weeks (under 1 month),Western Australia,11.0499541
May-1991,Under 4 weeks (under 1 month),Tasmania,3.9028713
May-1991,Under 4 weeks (under 1 month),Northern Territory,1.1687916
May-1991,Under 4 weeks (under 1 month),Australian Capital Territory,1.4350077
May-1991,4 weeks and under 13 weeks (1-3 months),New South Wales,57.5945507
May-1991,4 weeks and under 13 weeks (1-3 months),Victoria,45.6041093
May-1991,4 weeks and under 13 weeks (1-3 months),Queensland,33.1441794
May-1991,4 weeks and under 13 weeks (1-3 months),South Australia,14.0324366
May-1991,4 weeks and under 13 weeks (1-3 months),Western Australia,19.7816286
May-1991,4 weeks and under 13 weeks (1-3 months),Tasmania,4.3601637
May-1991,4 weeks and under 13 weeks (1-3 months),Northern Territory,2.6639595
May-1991,4 weeks and under 13 weeks (1-3 months),Australian Capital Territory,2.5518853
May-1991,13 weeks and under 26 weeks (3-6 months),New South Wales,54.3744256
May-1991,13 weeks and under 26 weeks (3-6 months),Victoria,62.4048878
May-1991,13 weeks and under 26 weeks (3-6 months),Queensland,42.3715633
May-1991,13 weeks and under 26 weeks (3-6 months),South Australia,15.3900297
May-1991,13 weeks and under 26 weeks (3-6 months),Western Australia,20.5655684
May-1991,13 weeks and under 26 weeks (3-6 months),Tasmania,4.5255004
May-1991,13 weeks and under 26 weeks (3-6 months),Northern Territory,2.0440517
May-1991,13 weeks and under 26 weeks (3-6 months),Australian Capital Territory,2.1863326
May-1991,26 weeks and under 52 weeks (6-12 months),New South Wales,36.467163
May-1991,26 weeks and under 52 weeks (6-12 months),Victoria,43.5261542
May-1991,26 weeks and under 52 weeks (6-12 months),Queensland,23.4535896
May-1991,26 weeks and under 52 weeks (6-12 months),South Australia,10.2525408
May-1991,26 weeks and under 52 weeks (6-12 months),Western Australia,17.2007721
May-1991,26 weeks and under 52 weeks (6-12 months),Tasmania,2.7340804
May-1991,26 weeks and under 52 weeks (6-12 months),Northern Territory,0.755648
May-1991,26 weeks and under 52 weeks (6-12 months),Australian Capital Territory,2.0372745
May-1991,52 weeks and under 104 weeks (1-2 years),New South Wales,27.8054815
May-1991,52 weeks and under 104 weeks (1-2 years),Victoria,26.0550971
May-1991,52 weeks and under 104 weeks (1-2 years),Queensland,13.367086
May-1991,52 weeks and under 104 weeks (1-2 years),South Australia,7.9739246
May-1991,52 weeks and under 104 weeks (1-2 years),Western Australia,8.654477
May-1991,52 weeks and under 104 weeks (1-2 years),Tasmania,3.2109542
May-1991,52 weeks and under 104 weeks (1-2 years),Northern Territory,0.3581083
May-1991,52 weeks and under 104 weeks (1-2 years),Australian Capital Territory,0.8108429
May-1991,104 weeks and over (2 years and over),New South Wales,26.9682219
May-1991,104 weeks and over (2 years and over),Victoria,15.901483
May-1991,104 weeks and over (2 years and over),Queensland,14.6512752
May-1991,104 weeks and over (2 years and over),South Australia,11.6585986
May-1991,104 weeks and over (2 years and over),Western Australia,6.0478988
May-1991,104 weeks and over (2 years and over),Tasmania,3.2889754
May-1991,104 weeks and over (2 years and over),Northern Territory,0.6258586
May-1991,104 weeks and over (2 years and over),Australian Capital Territory,0.4302196
Jun-1991,Under 4 weeks (under 1 month),New South Wales,37.4203065
Jun-1991,Under 4 weeks (under 1 month),Victoria,27.1201567
Jun-1991,Under 4 weeks (under 1 month),Queensland,20.8216468
Jun-1991,Under 4 weeks (under 1 month),South Australia,8.0368955
Jun-1991,Under 4 weeks (under 1 month),Western Australia,13.9207316
Jun-1991,Under 4 weeks (under 1 month),Tasmania,4.9337443
Jun-1991,Under 4 weeks (under 1 month),Northern Territory,1.0911853
